cuda
Initialize dataset with 1294392 characters, 107 unique.
embed_dim: 32
[2020-11-30 12:13] Train Step 0499/1000000, Batch Size = 64,                     Examples/Sec = 5438.65, Accuracy = 0.57, Loss = 1.450
[2020-11-30 12:13] Train Step 0999/1000000, Batch Size = 64,                     Examples/Sec = 5105.57, Accuracy = 0.65, Loss = 1.196
[2020-11-30 12:13] Train Step 1499/1000000, Batch Size = 64,                     Examples/Sec = 4644.29, Accuracy = 0.61, Loss = 1.228
[2020-11-30 12:13] Train Step 1999/1000000, Batch Size = 64,                     Examples/Sec = 5445.27, Accuracy = 0.64, Loss = 1.164
[2020-11-30 12:13] Train Step 2499/1000000, Batch Size = 64,                     Examples/Sec = 5319.77, Accuracy = 0.63, Loss = 1.194
[2020-11-30 12:14] Train Step 2999/1000000, Batch Size = 64,                     Examples/Sec = 4802.24, Accuracy = 0.67, Loss = 1.072
[2020-11-30 12:14] Train Step 3499/1000000, Batch Size = 64,                     Examples/Sec = 4960.10, Accuracy = 0.66, Loss = 1.119
[2020-11-30 12:14] Train Step 3999/1000000, Batch Size = 64,                     Examples/Sec = 5472.24, Accuracy = 0.67, Loss = 1.073
[2020-11-30 12:14] Train Step 4499/1000000, Batch Size = 64,                     Examples/Sec = 5086.80, Accuracy = 0.67, Loss = 1.041
[2020-11-30 12:14] Train Step 4999/1000000, Batch Size = 64,                     Examples/Sec = 5336.37, Accuracy = 0.65, Loss = 1.116
[2020-11-30 12:15] Train Step 5499/1000000, Batch Size = 64,                     Examples/Sec = 3948.68, Accuracy = 0.67, Loss = 1.093
[2020-11-30 12:15] Train Step 5999/1000000, Batch Size = 64,                     Examples/Sec = 5180.75, Accuracy = 0.66, Loss = 1.132
[2020-11-30 12:15] Train Step 6499/1000000, Batch Size = 64,                     Examples/Sec = 4714.60, Accuracy = 0.67, Loss = 1.065
[2020-11-30 12:15] Train Step 6999/1000000, Batch Size = 64,                     Examples/Sec = 4951.04, Accuracy = 0.66, Loss = 1.157
[2020-11-30 12:15] Train Step 7499/1000000, Batch Size = 64,                     Examples/Sec = 5419.87, Accuracy = 0.67, Loss = 1.083
[2020-11-30 12:16] Train Step 7999/1000000, Batch Size = 64,                     Examples/Sec = 5217.10, Accuracy = 0.68, Loss = 1.008
[2020-11-30 12:16] Train Step 8499/1000000, Batch Size = 64,                     Examples/Sec = 5416.59, Accuracy = 0.68, Loss = 1.060
[2020-11-30 12:16] Train Step 8999/1000000, Batch Size = 64,                     Examples/Sec = 5070.46, Accuracy = 0.67, Loss = 1.032
